run_id,config,mesh,level,rep,t_rel_s,kind,service,container,value
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,cpu_cores,permutation,app,0.0005
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,cpu_cores,permutation,app,0.0005
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,cpu_cores,permutation,app,0.0356
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,mem_mib,permutation,app,140.8
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,mem_mib,permutation,app,140.8
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,mem_mib,permutation,app,142.42
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,cpu_cores,fibonacci,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,cpu_cores,fibonacci,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,cpu_cores,fibonacci,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,mem_mib,fibonacci,app,147.06
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,mem_mib,fibonacci,app,147.06
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,mem_mib,fibonacci,app,147.06
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,cpu_cores,integration,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,cpu_cores,integration,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,cpu_cores,integration,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,mem_mib,integration,app,169.02
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,mem_mib,integration,app,169.02
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,mem_mib,integration,app,169.02
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,cpu_cores,differential,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,cpu_cores,differential,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,cpu_cores,differential,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,mem_mib,differential,app,160.09
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,mem_mib,differential,app,160.09
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,mem_mib,differential,app,160.09
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,cpu_cores,digital-filters,app,0.0004
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,cpu_cores,digital-filters,app,0.0004
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,cpu_cores,digital-filters,app,0.0004
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,mem_mib,digital-filters,app,161.73
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,mem_mib,digital-filters,app,161.73
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,mem_mib,digital-filters,app,161.73
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,cpu_cores,video,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,cpu_cores,video,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,cpu_cores,video,app,0.0002
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,mem_mib,video,app,147.43
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,mem_mib,video,app,147.43
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,mem_mib,video,app,147.43
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,cpu_cores,_ingress,app,0.0011
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,cpu_cores,_ingress,app,0.0026
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,cpu_cores,_ingress,app,0.0033
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,0.0,mem_mib,_ingress,app,115.78
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,10.0,mem_mib,_ingress,app,116.23
baseline_permutation_S1_low_r1,baseline_permutation_S1,baseline,low,1,20.0,mem_mib,_ingress,app,116.23
